DDInterID_A,Drug_A,DDInterID_B,Drug_B,Level
DDInter366,Chlorzoxazone,DDInter1,Abacavir,Minor
DDInter1451,Phenylbutazone,DDInter582,Dolutegravir,Minor
DDInter1726,Sulfinpyrazone,DDInter582,Dolutegravir,Minor
DDInter1961,Zidovudine,DDInter500,Denosumab,Moderate
DDInter1961,Zidovudine,DDInter537,Diclofenac,Moderate
DDInter1961,Zidovudine,DDInter699,Etodolac,Moderate
DDInter1961,Zidovudine,DDInter721,Fenoprofen,Moderate
DDInter1961,Zidovudine,DDInter763,Flurbiprofen,Moderate
DDInter1961,Zidovudine,DDInter900,Ibuprofen,Moderate
DDInter921,Indomethacin,DDInter1961,Zidovudine,Moderate
DDInter1961,Zidovudine,DDInter1009,Ketoprofen,Moderate
DDInter1010,Ketorolac,DDInter1961,Zidovudine,Moderate
DDInter1961,Zidovudine,DDInter1139,Mefenamic acid,Moderate
DDInter1961,Zidovudine,DDInter1143,Meloxicam,Moderate
DDInter1254,Nabumetone,DDInter1961,Zidovudine,Moderate
DDInter1961,Zidovudine,DDInter1266,Naproxen,Moderate
DDInter1961,Zidovudine,DDInter1419,Penicillamine,Moderate
DDInter1961,Zidovudine,DDInter1451,Phenylbutazone,Moderate
DDInter1961,Zidovudine,DDInter1478,Piroxicam,Moderate
DDInter1961,Zidovudine,DDInter1522,Probenecid,Moderate
DDInter1961,Zidovudine,DDInter1729,Sulindac,Moderate
DDInter431,Colchicine,DDInter3,Abametapir (topical),Moderate
DDInter454,Cyclobenzaprine,DDInter3,Abametapir (topical),Moderate
DDInter537,Diclofenac,DDInter3,Abametapir (topical),Moderate
DDInter676,Esomeprazole,DDInter3,Abametapir (topical),Moderate
DDInter1143,Meloxicam,DDInter3,Abametapir (topical),Moderate
DDInter1254,Nabumetone,DDInter3,Abametapir (topical),Moderate
DDInter1266,Naproxen,DDInter3,Abametapir (topical),Moderate
DDInter1557,Quinine,DDInter3,Abametapir (topical),Moderate
DDInter1559,Rabeprazole,DDInter3,Abametapir (topical),Moderate
DDInter1821,Tizanidine,DDInter3,Abametapir (topical),Moderate
DDInter1910,Valdecoxib,DDInter3,Abametapir (topical),Moderate
DDInter5,Abatacept,DDInter500,Denosumab,Moderate
DDInter6,Abciximab,DDInter20,Acetylsalicylic acid,Moderate
DDInter6,Abciximab,DDInter336,Celecoxib,Moderate
DDInter435,Collagenase clostridium histolyticum,DDInter6,Abciximab,Moderate
DDInter6,Abciximab,DDInter537,Diclofenac,Moderate
DDInter6,Abciximab,DDInter538,Diclofenac (ophthalmic),Moderate
DDInter6,Abciximab,DDInter539,Diclofenac (topical),Moderate
DDInter6,Abciximab,DDInter699,Etodolac,Moderate
DDInter6,Abciximab,DDInter721,Fenoprofen,Moderate
DDInter6,Abciximab,DDInter763,Flurbiprofen,Moderate
DDInter6,Abciximab,DDInter764,Flurbiprofen (ophthalmic),Moderate
DDInter6,Abciximab,DDInter900,Ibuprofen,Moderate
DDInter6,Abciximab,DDInter921,Indomethacin,Moderate
DDInter6,Abciximab,DDInter1009,Ketoprofen,Moderate
DDInter6,Abciximab,DDInter1010,Ketorolac,Moderate
DDInter6,Abciximab,DDInter1011,Ketorolac (ophthalmic),Moderate
DDInter6,Abciximab,DDInter1135,Meclofenamic acid,Moderate
DDInter6,Abciximab,DDInter1139,Mefenamic acid,Moderate
DDInter6,Abciximab,DDInter1143,Meloxicam,Moderate
DDInter6,Abciximab,DDInter1254,Nabumetone,Moderate
DDInter6,Abciximab,DDInter1266,Naproxen,Moderate
DDInter6,Abciximab,DDInter1358,Oxaprozin,Moderate
DDInter6,Abciximab,DDInter1451,Phenylbutazone,Moderate
DDInter6,Abciximab,DDInter1478,Piroxicam,Moderate
DDInter6,Abciximab,DDInter1613,Rofecoxib,Moderate
DDInter6,Abciximab,DDInter1729,Sulindac,Moderate
DDInter6,Abciximab,DDInter1732,Suprofen (ophthalmic),Moderate
DDInter6,Abciximab,DDInter1831,Tolmetin,Moderate
DDInter6,Abciximab,DDInter1910,Valdecoxib,Moderate
DDInter500,Denosumab,DDInter7,Abemaciclib,Moderate
DDInter1038,Lesinurad,DDInter7,Abemaciclib,Moderate
DDInter1451,Phenylbutazone,DDInter7,Abemaciclib,Moderate
DDInter1726,Sulfinpyrazone,DDInter7,Abemaciclib,Moderate
DDInter537,Diclofenac,DDInter8,Abiraterone,Moderate
DDInter8,Abiraterone,DDInter1038,Lesinurad,Moderate
DDInter1557,Quinine,DDInter8,Abiraterone,Moderate
DDInter1821,Tizanidine,DDInter8,Abiraterone,Moderate
DDInter225,Botulinum toxin type A,DDInter23,Acrivastine,Moderate
DDInter225,Botulinum toxin type A,DDInter66,Amikacin,Major
DDInter225,Botulinum toxin type A,DDInter67,Amikacin (liposome),Major
DDInter225,Botulinum toxin type A,DDInter78,Amitriptyline,Moderate
DDInter225,Botulinum toxin type A,DDInter82,Amoxapine,Moderate
DDInter225,Botulinum toxin type A,DDInter135,Atracurium,Major
DDInter225,Botulinum toxin type A,DDInter136,Atropine,Moderate
DDInter225,Botulinum toxin type A,DDInter149,Azatadine,Moderate
DDInter225,Botulinum toxin type A,DDInter162,Baclofen,Moderate
DDInter225,Botulinum toxin type A,DDInter175,Belladonna,Moderate
DDInter225,Botulinum toxin type A,DDInter181,Benzatropine,Moderate
DDInter225,Botulinum toxin type A,DDInter211,Biperiden,Moderate
DDInter225,Botulinum toxin type A,DDInter245,Brompheniramine,Moderate
DDInter225,Botulinum toxin type A,DDInter297,Carbinoxamine,Moderate
DDInter225,Botulinum toxin type A,DDInter301,Carisoprodol,Moderate
DDInter225,Botulinum toxin type A,DDInter354,Chlorcyclizine,Moderate
DDInter225,Botulinum toxin type A,DDInter361,Chlorphenesin,Moderate
DDInter225,Botulinum toxin type A,DDInter362,Chlorpheniramine,Moderate
DDInter225,Botulinum toxin type A,DDInter363,Chlorpromazine,Moderate
DDInter225,Botulinum toxin type A,DDInter366,Chlorzoxazone,Moderate
DDInter225,Botulinum toxin type A,DDInter386,Cisatracurium,Major
DDInter225,Botulinum toxin type A,DDInter395,Clemastine,Moderate
DDInter225,Botulinum toxin type A,DDInter397,Clidinium,Moderate
DDInter225,Botulinum toxin type A,DDInter410,Clomipramine,Moderate
DDInter225,Botulinum toxin type A,DDInter419,Clozapine,Moderate
DDInter225,Botulinum toxin type A,DDInter434,Colistimethate,Major
DDInter225,Botulinum toxin type A,DDInter453,Cyclizine,Moderate
DDInter225,Botulinum toxin type A,DDInter454,Cyclobenzaprine,Moderate
DDInter225,Botulinum toxin type A,DDInter459,Cyproheptadine,Moderate
DDInter225,Botulinum toxin type A,DDInter473,Dantrolene,Moderate
DDInter225,Botulinum toxin type A,DDInter480,Darifenacin,Moderate
DDInter225,Botulinum toxin type A,DDInter504,Desipramine,Moderate
DDInter225,Botulinum toxin type A,DDInter517,Dexbrompheniramine,Moderate
DDInter225,Botulinum toxin type A,DDInter543,Dicyclomine,Moderate
DDInter225,Botulinum toxin type A,DDInter562,Dimenhydrinate,Moderate
DDInter225,Botulinum toxin type A,DDInter569,Diphenhydramine,Moderate
DDInter225,Botulinum toxin type A,DDInter575,Disopyramide,Moderate
DDInter225,Botulinum toxin type A,DDInter590,Doxacurium,Major
DDInter225,Botulinum toxin type A,DDInter593,Doxepin,Moderate
DDInter225,Botulinum toxin type A,DDInter594,Doxepin (topical),Moderate
DDInter225,Botulinum toxin type A,DDInter600,Doxylamine,Moderate
DDInter225,Botulinum toxin type A,DDInter731,Fesoterodine,Moderate
DDInter225,Botulinum toxin type A,DDInter738,Flavoxate,Moderate
DDInter225,Botulinum toxin type A,DDInter760,Fluphenazine,Moderate
DDInter225,Botulinum toxin type A,DDInter815,Gentamicin,Major
DDInter225,Botulinum toxin type A,DDInter834,Glycopyrronium,Moderate
DDInter225,Botulinum toxin type A,DDInter895,Hydroxyzine,Moderate
DDInter225,Botulinum toxin type A,DDInter896,Hyoscyamine,Moderate
DDInter225,Botulinum toxin type A,DDInter912,Imipramine,Moderate
DDInter225,Botulinum toxin type A,DDInter1004,Kanamycin,Major
DDInter225,Botulinum toxin type A,DDInter1099,Loxapine,Moderate
DDInter225,Botulinum toxin type A,DDInter1124,Maprotiline,Moderate
DDInter225,Botulinum toxin type A,DDInter1134,Meclizine,Moderate
DDInter225,Botulinum toxin type A,DDInter1149,Mepenzolate,Moderate
DDInter225,Botulinum toxin type A,DDInter1159,Mesoridazine,Moderate
DDInter225,Botulinum toxin type A,DDInter1163,Metaxalone,Moderate
DDInter225,Botulinum toxin type A,DDInter1168,Methdilazine,Moderate
DDInter225,Botulinum toxin type A,DDInter1172,Methocarbamol,Moderate
DDInter225,Botulinum toxin type A,DDInter1175,Methotrimeprazine,Moderate
DDInter225,Botulinum toxin type A,DDInter1180,Methscopolamine,Moderate
DDInter225,Botulinum toxin type A,DDInter1198,Metocurine,Major
DDInter225,Botulinum toxin type A,DDInter1235,Mivacurium,Major
DDInter225,Botulinum toxin type A,DDInter1239,Molindone,Moderate
DDInter225,Botulinum toxin type A,DDInter1277,Neomycin,Major
DDInter225,Botulinum toxin type A,DDInter1283,Netilmicin,Major
DDInter225,Botulinum toxin type A,DDInter1316,Nortriptyline,Moderate
DDInter225,Botulinum toxin type A,DDInter1326,Olanzapine,Moderate
DDInter225,Botulinum toxin type A,DDInter1349,Orphenadrine,Moderate
DDInter225,Botulinum toxin type A,DDInter1365,Oxybutynin,Moderate
DDInter225,Botulinum toxin type A,DDInter1385,Pancuronium,Major
DDInter225,Botulinum toxin type A,DDInter1432,Perphenazine,Moderate
DDInter225,Botulinum toxin type A,DDInter1441,Phenindamine,Moderate
DDInter225,Botulinum toxin type A,DDInter1470,Pimozide,Moderate
DDInter225,Botulinum toxin type A,DDInter1473,Pipecuronium,Major
DDInter225,Botulinum toxin type A,DDInter1482,Plazomicin,Major
DDInter225,Botulinum toxin type A,DDInter1489,Polymyxin B,Major
DDInter225,Botulinum toxin type A,DDInter1527,Prochlorperazine,Moderate
DDInter225,Botulinum toxin type A,DDInter1528,Procyclidine,Moderate
DDInter225,Botulinum toxin type A,DDInter1532,Promazine,Moderate
DDInter225,Botulinum toxin type A,DDInter1533,Promethazine,Moderate
DDInter225,Botulinum toxin type A,DDInter1535,Propantheline,Moderate
DDInter225,Botulinum toxin type A,DDInter1537,Propiomazine,Moderate
DDInter225,Botulinum toxin type A,DDInter1543,Protriptyline,Moderate
DDInter225,Botulinum toxin type A,DDInter1155,Mepyramine,Moderate
DDInter225,Botulinum toxin type A,DDInter1571,Rapacuronium,Major
DDInter226,Botulinum Toxin Type B,DDInter225,Botulinum toxin type A,Moderate
DDInter225,Botulinum toxin type A,DDInter1612,Rocuronium,Major
DDInter225,Botulinum toxin type A,DDInter1647,Scopolamine,Moderate
DDInter225,Botulinum toxin type A,DDInter1696,Solifenacin,Moderate
DDInter225,Botulinum toxin type A,DDInter1706,Spectinomycin,Major
DDInter225,Botulinum toxin type A,DDInter1713,Streptomycin,Major
DDInter225,Botulinum toxin type A,DDInter1716,Succinylcholine,Major
DDInter225,Botulinum toxin type A,DDInter1793,Thiethylperazine,Moderate
DDInter225,Botulinum toxin type A,DDInter1796,Thioridazine,Moderate
DDInter225,Botulinum toxin type A,DDInter1798,Thiothixene,Moderate
DDInter225,Botulinum toxin type A,DDInter1821,Tizanidine,Moderate
DDInter225,Botulinum toxin type A,DDInter1822,Tobramycin,Major
DDInter225,Botulinum toxin type A,DDInter1832,Tolterodine,Moderate
DDInter225,Botulinum toxin type A,DDInter1866,Trifluoperazine,Moderate
DDInter225,Botulinum toxin type A,DDInter1867,Triflupromazine,Moderate
DDInter225,Botulinum toxin type A,DDInter1870,Trihexyphenidyl,Moderate
DDInter225,Botulinum toxin type A,DDInter45,Alimemazine,Moderate
DDInter225,Botulinum toxin type A,DDInter1876,Trimipramine,Moderate
DDInter225,Botulinum toxin type A,DDInter1878,Tripelennamine,Moderate
DDInter225,Botulinum toxin type A,DDInter1879,Triprolidine,Moderate
DDInter225,Botulinum toxin type A,DDInter1886,Trospium,Moderate
DDInter225,Botulinum toxin type A,DDInter1890,Tubocurarine,Major
DDInter225,Botulinum toxin type A,DDInter1922,Vecuronium,Major
DDInter139,Auranofin,DDInter1377,Paclitaxel,Moderate
DDInter1377,Paclitaxel,DDInter140,Aurothioglucose,Moderate
DDInter1377,Paclitaxel,DDInter431,Colchicine,Moderate
DDInter1377,Paclitaxel,DDInter500,Denosumab,Moderate
DDInter1377,Paclitaxel,DDInter1682,Sodium aurothiomalate,Moderate
DDInter1451,Phenylbutazone,DDInter1377,Paclitaxel,Moderate
DDInter1557,Quinine,DDInter1377,Paclitaxel,Moderate
DDInter1726,Sulfinpyrazone,DDInter1377,Paclitaxel,Moderate
DDInter722,Fentanyl,DDInter135,Atracurium,Moderate
DDInter162,Baclofen,DDInter722,Fentanyl,Major
DDInter301,Carisoprodol,DDInter722,Fentanyl,Major
DDInter722,Fentanyl,DDInter357,Chlormezanone,Major
DDInter366,Chlorzoxazone,DDInter722,Fentanyl,Major
DDInter386,Cisatracurium,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter454,Cyclobenzaprine,Major
DDInter722,Fentanyl,DDInter473,Dantrolene,Major
DDInter722,Fentanyl,DDInter590,Doxacurium,Moderate
DDInter722,Fentanyl,DDInter1038,Lesinurad,Moderate
DDInter1172,Methocarbamol,DDInter722,Fentanyl,Major
DDInter722,Fentanyl,DDInter1235,Mivacurium,Moderate
DDInter722,Fentanyl,DDInter1349,Orphenadrine,Major
DDInter722,Fentanyl,DDInter1385,Pancuronium,Moderate
DDInter1451,Phenylbutazone,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter1473,Pipecuronium,Moderate
DDInter1612,Rocuronium,DDInter722,Fentanyl,Moderate
DDInter1716,Succinylcholine,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter1726,Sulfinpyrazone,Moderate
DDInter1821,Tizanidine,DDInter722,Fentanyl,Major
DDInter722,Fentanyl,DDInter1890,Tubocurarine,Moderate
DDInter722,Fentanyl,DDInter1922,Vecuronium,Moderate
DDInter20,Acetylsalicylic acid,DDInter9,Acalabrutinib,Major
DDInter500,Denosumab,DDInter9,Acalabrutinib,Moderate
DDInter537,Diclofenac,DDInter9,Acalabrutinib,Major
DDInter538,Diclofenac (ophthalmic),DDInter9,Acalabrutinib,Moderate
DDInter539,Diclofenac (topical),DDInter9,Acalabrutinib,Moderate
DDInter676,Esomeprazole,DDInter9,Acalabrutinib,Major
DDInter699,Etodolac,DDInter9,Acalabrutinib,Major
DDInter721,Fenoprofen,DDInter9,Acalabrutinib,Major
DDInter763,Flurbiprofen,DDInter9,Acalabrutinib,Major
DDInter764,Flurbiprofen (ophthalmic),DDInter9,Acalabrutinib,Moderate
DDInter900,Ibuprofen,DDInter9,Acalabrutinib,Major
DDInter921,Indomethacin,DDInter9,Acalabrutinib,Major
DDInter1009,Ketoprofen,DDInter9,Acalabrutinib,Major
DDInter1010,Ketorolac,DDInter9,Acalabrutinib,Major
DDInter1011,Ketorolac (ophthalmic),DDInter9,Acalabrutinib,Moderate
DDInter1038,Lesinurad,DDInter9,Acalabrutinib,Moderate
DDInter1135,Meclofenamic acid,DDInter9,Acalabrutinib,Major
DDInter1139,Mefenamic acid,DDInter9,Acalabrutinib,Major
DDInter1143,Meloxicam,DDInter9,Acalabrutinib,Major
DDInter1254,Nabumetone,DDInter9,Acalabrutinib,Major
DDInter1266,Naproxen,DDInter9,Acalabrutinib,Major
DDInter1358,Oxaprozin,DDInter9,Acalabrutinib,Major
DDInter1451,Phenylbutazone,DDInter9,Acalabrutinib,Major
DDInter1478,Piroxicam,DDInter9,Acalabrutinib,Major
DDInter1559,Rabeprazole,DDInter9,Acalabrutinib,Major
DDInter1726,Sulfinpyrazone,DDInter9,Acalabrutinib,Major
DDInter1729,Sulindac,DDInter9,Acalabrutinib,Major
DDInter1732,Suprofen (ophthalmic),DDInter9,Acalabrutinib,Moderate
DDInter1831,Tolmetin,DDInter9,Acalabrutinib,Major
DDInter1066,Lidocaine,DDInter135,Atracurium,Moderate
DDInter1066,Lidocaine,DDInter386,Cisatracurium,Moderate
DDInter1066,Lidocaine,DDInter590,Doxacurium,Moderate
DDInter1066,Lidocaine,DDInter1235,Mivacurium,Moderate
DDInter1066,Lidocaine,DDInter1385,Pancuronium,Moderate
DDInter1066,Lidocaine,DDInter1451,Phenylbutazone,Minor
DDInter1066,Lidocaine,DDInter1473,Pipecuronium,Moderate
DDInter1066,Lidocaine,DDInter1612,Rocuronium,Moderate
DDInter1716,Succinylcholine,DDInter1066,Lidocaine,Moderate
DDInter1066,Lidocaine,DDInter1726,Sulfinpyrazone,Minor
DDInter1066,Lidocaine,DDInter1890,Tubocurarine,Moderate
DDInter1066,Lidocaine,DDInter1922,Vecuronium,Moderate
DDInter162,Baclofen,DDInter362,Chlorpheniramine,Moderate
DDInter301,Carisoprodol,DDInter362,Chlorpheniramine,Moderate
DDInter362,Chlorpheniramine,DDInter357,Chlormezanone,Moderate
DDInter366,Chlorzoxazone,DDInter362,Chlorpheniramine,Moderate
DDInter1453,Phenylephrine,DDInter431,Colchicine,Minor
DDInter454,Cyclobenzaprine,DDInter362,Chlorpheniramine,Moderate
DDInter362,Chlorpheniramine,DDInter473,Dantrolene,Moderate
DDInter1172,Methocarbamol,DDInter362,Chlorpheniramine,Moderate
DDInter1453,Phenylephrine,DDInter1349,Orphenadrine,Moderate
DDInter226,Botulinum Toxin Type B,DDInter362,Chlorpheniramine,Moderate
DDInter1821,Tizanidine,DDInter362,Chlorpheniramine,Moderate
DDInter20,Acetylsalicylic acid,DDInter12,Acebutolol,Minor
DDInter12,Acebutolol,DDInter135,Atracurium,Moderate
DDInter162,Baclofen,DDInter12,Acebutolol,Moderate
DDInter301,Carisoprodol,DDInter12,Acebutolol,Moderate
DDInter357,Chlormezanone,DDInter12,Acebutolol,Moderate
DDInter366,Chlorzoxazone,DDInter12,Acebutolol,Moderate
DDInter386,Cisatracurium,DDInter12,Acebutolol,Moderate
DDInter454,Cyclobenzaprine,DDInter12,Acebutolol,Moderate
DDInter537,Diclofenac,DDInter12,Acebutolol,Moderate
DDInter590,Doxacurium,DDInter12,Acebutolol,Moderate
DDInter699,Etodolac,DDInter12,Acebutolol,Moderate
DDInter721,Fenoprofen,DDInter12,Acebutolol,Moderate
DDInter763,Flurbiprofen,DDInter12,Acebutolol,Moderate
DDInter900,Ibuprofen,DDInter12,Acebutolol,Moderate
DDInter921,Indomethacin,DDInter12,Acebutolol,Moderate
DDInter1009,Ketoprofen,DDInter12,Acebutolol,Moderate
DDInter1010,Ketorolac,DDInter12,Acebutolol,Moderate
DDInter1135,Meclofenamic acid,DDInter12,Acebutolol,Moderate
DDInter1139,Mefenamic acid,DDInter12,Acebutolol,Moderate
DDInter1143,Meloxicam,DDInter12,Acebutolol,Moderate
DDInter1172,Methocarbamol,DDInter12,Acebutolol,Moderate
DDInter12,Acebutolol,DDInter1235,Mivacurium,Moderate
DDInter1254,Nabumetone,DDInter12,Acebutolol,Moderate
DDInter1266,Naproxen,DDInter12,Acebutolol,Moderate
DDInter1349,Orphenadrine,DDInter12,Acebutolol,Moderate
DDInter1358,Oxaprozin,DDInter12,Acebutolol,Moderate
DDInter12,Acebutolol,DDInter1385,Pancuronium,Moderate
DDInter1451,Phenylbutazone,DDInter12,Acebutolol,Moderate
DDInter12,Acebutolol,DDInter1473,Pipecuronium,Moderate
DDInter1478,Piroxicam,DDInter12,Acebutolol,Moderate
DDInter1612,Rocuronium,DDInter12,Acebutolol,Moderate
DDInter1716,Succinylcholine,DDInter12,Acebutolol,Moderate
DDInter1726,Sulfinpyrazone,DDInter12,Acebutolol,Minor
DDInter1729,Sulindac,DDInter12,Acebutolol,Moderate
DDInter1821,Tizanidine,DDInter12,Acebutolol,Major
DDInter1831,Tolmetin,DDInter12,Acebutolol,Moderate
DDInter12,Acebutolol,DDInter1890,Tubocurarine,Moderate
DDInter12,Acebutolol,DDInter1922,Vecuronium,Moderate
DDInter14,Acetaminophen,DDInter1522,Probenecid,Minor
DDInter14,Acetaminophen,DDInter1726,Sulfinpyrazone,Moderate
DDInter263,Caffeine,DDInter20,Acetylsalicylic acid,Minor
DDInter162,Baclofen,DDInter556,Dihydrocodeine,Major
DDInter301,Carisoprodol,DDInter556,Dihydrocodeine,Major
DDInter336,Celecoxib,DDInter556,Dihydrocodeine,Moderate
DDInter357,Chlormezanone,DDInter556,Dihydrocodeine,Major
DDInter366,Chlorzoxazone,DDInter556,Dihydrocodeine,Major
DDInter454,Cyclobenzaprine,DDInter556,Dihydrocodeine,Major
DDInter473,Dantrolene,DDInter556,Dihydrocodeine,Major
DDInter1172,Methocarbamol,DDInter556,Dihydrocodeine,Major
DDInter1349,Orphenadrine,DDInter556,Dihydrocodeine,Major
DDInter263,Caffeine,DDInter1821,Tizanidine,Major
DDInter162,Baclofen,DDInter429,Codeine,Major
DDInter429,Codeine,DDInter301,Carisoprodol,Major
DDInter429,Codeine,DDInter336,Celecoxib,Moderate
DDInter429,Codeine,DDInter357,Chlormezanone,Major
DDInter429,Codeine,DDInter366,Chlorzoxazone,Major
DDInter429,Codeine,DDInter454,Cyclobenzaprine,Major
DDInter429,Codeine,DDInter473,Dantrolene,Major
DDInter429,Codeine,DDInter1172,Methocarbamol,Major
DDInter429,Codeine,DDInter1349,Orphenadrine,Major
DDInter429,Codeine,DDInter1557,Quinine,Moderate
DDInter429,Codeine,DDInter1821,Tizanidine,Major
DDInter162,Baclofen,DDInter536,Dichloralphenazone,Moderate
DDInter301,Carisoprodol,DDInter536,Dichloralphenazone,Moderate
DDInter1821,Tizanidine,DDInter536,Dichloralphenazone,Moderate
DDInter162,Baclofen,DDInter1841,Tramadol,Major
DDInter1841,Tramadol,DDInter301,Carisoprodol,Major
DDInter1841,Tramadol,DDInter336,Celecoxib,Moderate
DDInter1841,Tramadol,DDInter357,Chlormezanone,Major
DDInter1841,Tramadol,DDInter366,Chlorzoxazone,Major
DDInter1841,Tramadol,DDInter454,Cyclobenzaprine,Major
DDInter1841,Tramadol,DDInter473,Dantrolene,Major
DDInter1841,Tramadol,DDInter1172,Methocarbamol,Major
DDInter1841,Tramadol,DDInter1349,Orphenadrine,Major
DDInter1841,Tramadol,DDInter1557,Quinine,Moderate
DDInter1841,Tramadol,DDInter1821,Tizanidine,Major
DDInter15,Acetazolamide,DDInter20,Acetylsalicylic acid,Major
DDInter15,Acetazolamide,DDInter135,Atracurium,Moderate
DDInter386,Cisatracurium,DDInter15,Acetazolamide,Moderate
DDInter15,Acetazolamide,DDInter1235,Mivacurium,Moderate
DDInter15,Acetazolamide,DDInter1385,Pancuronium,Moderate
DDInter1612,Rocuronium,DDInter15,Acetazolamide,Moderate
DDInter1716,Succinylcholine,DDInter15,Acetazolamide,Moderate
DDInter1821,Tizanidine,DDInter15,Acetazolamide,Moderate
DDInter15,Acetazolamide,DDInter1922,Vecuronium,Moderate
DDInter454,Cyclobenzaprine,DDInter18,Acetylcholine,Moderate
DDInter538,Diclofenac (ophthalmic),DDInter18,Acetylcholine,Minor
DDInter764,Flurbiprofen (ophthalmic),DDInter18,Acetylcholine,Minor
DDInter1011,Ketorolac (ophthalmic),DDInter18,Acetylcholine,Minor
DDInter1349,Orphenadrine,DDInter18,Acetylcholine,Moderate
DDInter1732,Suprofen (ophthalmic),DDInter18,Acetylcholine,Minor
DDInter42,Alendronic acid,DDInter712,Famotidine,Minor
DDInter537,Diclofenac,DDInter712,Famotidine,Minor
DDInter699,Etodolac,DDInter712,Famotidine,Minor
DDInter721,Fenoprofen,DDInter712,Famotidine,Minor
DDInter763,Flurbiprofen,DDInter712,Famotidine,Minor
DDInter712,Famotidine,DDInter900,Ibuprofen,Minor
DDInter921,Indomethacin,DDInter712,Famotidine,Minor
DDInter712,Famotidine,DDInter1009,Ketoprofen,Minor
DDInter1010,Ketorolac,DDInter712,Famotidine,Minor
DDInter712,Famotidine,DDInter1135,Meclofenamic acid,Minor
DDInter1139,Mefenamic acid,DDInter712,Famotidine,Minor
DDInter1266,Naproxen,DDInter712,Famotidine,Moderate
DDInter712,Famotidine,DDInter1358,Oxaprozin,Minor
DDInter1478,Piroxicam,DDInter712,Famotidine,Minor
DDInter712,Famotidine,DDInter1522,Probenecid,Minor
DDInter1557,Quinine,DDInter712,Famotidine,Moderate
DDInter1729,Sulindac,DDInter712,Famotidine,Minor
DDInter1821,Tizanidine,DDInter712,Famotidine,Major
DDInter1831,Tolmetin,DDInter712,Famotidine,Minor
DDInter42,Alendronic acid,DDInter1568,Ranitidine,Minor
DDInter1568,Ranitidine,DDInter135,Atracurium,Minor
DDInter386,Cisatracurium,DDInter1568,Ranitidine,Minor
DDInter537,Diclofenac,DDInter1568,Ranitidine,Minor
DDInter1568,Ranitidine,DDInter590,Doxacurium,Minor
DDInter699,Etodolac,DDInter1568,Ranitidine,Minor
DDInter721,Fenoprofen,DDInter1568,Ranitidine,Minor
DDInter1568,Ranitidine,DDInter900,Ibuprofen,Minor
DDInter921,Indomethacin,DDInter1568,Ranitidine,Minor
DDInter1568,Ranitidine,DDInter1009,Ketoprofen,Minor
DDInter1010,Ketorolac,DDInter1568,Ranitidine,Minor
DDInter1568,Ranitidine,DDInter1135,Meclofenamic acid,Minor
DDInter1139,Mefenamic acid,DDInter1568,Ranitidine,Minor
DDInter1568,Ranitidine,DDInter1235,Mivacurium,Minor
DDInter1254,Nabumetone,DDInter1568,Ranitidine,Minor
DDInter1266,Naproxen,DDInter1568,Ranitidine,Moderate
DDInter1568,Ranitidine,DDInter1358,Oxaprozin,Minor
DDInter1568,Ranitidine,DDInter1385,Pancuronium,Minor
DDInter1568,Ranitidine,DDInter1473,Pipecuronium,Minor
DDInter1478,Piroxicam,DDInter1568,Ranitidine,Minor
DDInter1612,Rocuronium,DDInter1568,Ranitidine,Minor
DDInter1716,Succinylcholine,DDInter1568,Ranitidine,Minor
DDInter1729,Sulindac,DDInter1568,Ranitidine,Minor
DDInter1831,Tolmetin,DDInter1568,Ranitidine,Minor
DDInter1568,Ranitidine,DDInter1890,Tubocurarine,Minor
DDInter1568,Ranitidine,DDInter1922,Vecuronium,Minor
DDInter66,Amikacin,DDInter1559,Rabeprazole,Moderate
DDInter67,Amikacin (liposome),DDInter1559,Rabeprazole,Moderate
DDInter84,Amphetamine,DDInter1559,Rabeprazole,Moderate
DDInter85,Amphotericin B,DDInter1559,Rabeprazole,Moderate
DDInter86,Amphotericin B (cholesteryl sulfate),DDInter1559,Rabeprazole,Moderate
DDInter87,Amphotericin B (lipid complex),DDInter1559,Rabeprazole,Moderate
DDInter88,Amphotericin B (liposomal),DDInter1559,Rabeprazole,Moderate
DDInter98,Anisindione,DDInter1559,Rabeprazole,Moderate
DDInter1559,Rabeprazole,DDInter107,Apalutamide,Moderate
DDInter112,Aprepitant,DDInter1559,Rabeprazole,Moderate
DDInter1559,Rabeprazole,DDInter119,Armodafinil,Moderate
DDInter20,Acetylsalicylic acid,DDInter1559,Rabeprazole,Minor
DDInter129,Atazanavir,DDInter1559,Rabeprazole,Major
DDInter1559,Rabeprazole,DDInter147,Axitinib,Minor
DDInter1559,Rabeprazole,DDInter159,Bacampicillin,Moderate
DDInter179,Bendroflumethiazide,DDInter1559,Rabeprazole,Moderate
DDInter188,Benzthiazide,DDInter1559,Rabeprazole,Moderate
DDInter1559,Rabeprazole,DDInter224,Bosutinib,Moderate
DDInter1559,Rabeprazole,DDInter233,Brigatinib,Moderate
DDInter248,Bumetanide,DDInter1559,Rabeprazole,Moderate
DDInter1559,Rabeprazole,DDInter287,Capmatinib,Minor
DDInter288,Capreomycin,DDInter1559,Rabeprazole,Moderate
